Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
,,SYS_AF,TIM2,TIM3/TIM4/TIM5,TIM9/TIM10/TIM11,I2C1/I2C2,SPI1/SPI2/I2S2,SPI3/I2S3,USART1/USART2/USART3,UART4/UART5,,,LCD,,,,,ADC
PortA,PA0,,TIM2_CH1/TIM2_ETR,TIM5_CH1,,,,,USART2_CTS,,,,,,,,EVENTOUT,ADC1_IN0
PortA,PA1,,TIM2_CH2,TIM5_CH2,,,,,USART2_RTS,,,,SEG0,,,,EVENTOUT,ADC1_IN1
PortA,PA2,,TIM2_CH3,TIM5_CH3,TIM9_CH1,,,,USART2_TX,,,,SEG1,,,,EVENTOUT,ADC1_IN2
PortA,PA3,,TIM2_CH4,TIM5_CH4,TIM9_CH2,,,,USART2_RX,,,,SEG2,,,,EVENTOUT,ADC1_IN3
PortA,PA4,,,,,,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,,,,,,,,EVENTOUT,ADC1_IN4
PortA,PA5,,TIM2_CH1/TIM2_ETR,,,,SPI1_SCK,,,,,,,,,,EVENTOUT,ADC1_IN5
PortA,PA6,,,TIM3_CH1,TIM10_CH1,,SPI1_MISO,,,,,,SEG3,,,,EVENTOUT,ADC1_IN6
PortA,PA7,,,TIM3_CH2,,,SPI1_MOSI,,,,,,SEG4,,,,EVENTOUT,ADC1_IN7
PortA,PA8,MCO_1,,,,,,,USART1_CK,,,,COM0,,,,EVENTOUT,
PortA,PA9,,,,,,,,USART1_TX,,,,COM1,,,,EVENTOUT,
PortA,PA10,,,,,,,,USART1_RX,,,,COM2,,,,EVENTOUT,
PortA,PA11,,,,,,SPI1_MISO,,USART1_CTS,,,,,,,,EVENTOUT,
PortA,PA12,,,,,,SPI1_MOSI,,USART1_RTS,,,,,,,,EVENTOUT,
PortA,PA13,JTMS_SWDIO,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA14,JTCK_SWCLK,,,,,,,,,,,,,,,EVENTOUT,
PortA,PA15,JTDI,TIM2_CH1/TIM2_ETR,,,,SPI1_NSS,SPI3_NSS/I2S3_WS,,,,,SEG17,,,,EVENTOUT,
PortB,PB0,,,TIM3_CH3,,,,,,,,,SEG5,,,,EVENTOUT,ADC1_IN8
PortB,PB1,,,TIM3_CH4,,,,,,,,,SEG6,,,,EVENTOUT,ADC1_IN9
PortB,PB2,BOOT_1,,,,,,,,,,,,,,,EVENTOUT,
PortB,PB3,JTDO_SWO,TIM2_CH2,,,,SPI1_SCK,SPI3_SCK/I2S3_CK,,,,,SEG7,,,,EVENTOUT,
PortB,PB4,JTRST,,TIM3_CH1,,,SPI1_MISO,SPI3_MISO,,,,,SEG8,,,,EVENTOUT,
PortB,PB5,,,TIM3_CH2,,I2C1_SMBA,SPI1_MOSI,SPI3_MOSI/I2S3_SD,,,,,SEG9,,,,EVENTOUT,
PortB,PB6,,,TIM4_CH1,,I2C1_SCL,,,USART1_TX,,,,,,,,EVENTOUT,
PortB,PB7,,,TIM4_CH2,,I2C1_SDA,,,USART1_RX,,,,,,,,EVENTOUT,
PortB,PB8,,,TIM4_CH3,TIM10_CH1,I2C1_SCL,,,,,,,SEG16,,,,EVENTOUT,
PortB,PB9,,,TIM4_CH4,TIM11_CH1,I2C1_SDA,,,,,,,COM3,,,,EVENTOUT,
PortB,PB10,,TIM2_CH3,,,I2C2_SCL,,,USART3_TX,,,,SEG10,,,,EVENTOUT,
PortB,PB11,,TIM2_CH4,,,I2C2_SDA,,,USART3_RX,,,,SEG11,,,,EVENTOUT,
PortB,PB12,,,,TIM10_CH1,I2C2_SMBA,SPI2_NSS/I2S2_WS,,USART3_CK,,,,SEG12,,,,EVENTOUT,
PortB,PB13,,,,TIM9_CH1,,SPI2_SCK/I2S2_CK,,USART3_CTS,,,,SEG13,,,,EVENTOUT,
PortB,PB14,,,,TIM9_CH2,,SPI2_MISO,,USART3_RTS,,,,SEG14,,,,EVENTOUT,
PortB,PB15,,,,TIM11_CH1,,SPI2_MOSI/I2S2_SD,,,,,,SEG15,,,,EVENTOUT,
PortC,PC0,,,,,,,,,,,,SEG18,,,,EVENTOUT,ADC1_IN10
PortC,PC1,,,,,,,,,,,,SEG19,,,,EVENTOUT,ADC1_IN11
PortC,PC2,,,,,,,,,,,,SEG20,,,,EVENTOUT,ADC1_IN12
PortC,PC3,,,,,,,,,,,,SEG21,,,,EVENTOUT,ADC1_IN13
PortC,PC4,,,,,,,,,,,,SEG22,,,,EVENTOUT,ADC1_IN14
PortC,PC5,,,,,,,,,,,,SEG23,,,,EVENTOUT,ADC1_IN15
PortC,PC6,,,TIM3_CH1,,,I2S2_MCK,,,,,,SEG24,,,,EVENTOUT,
PortC,PC7,,,TIM3_CH2,,,,I2S3_MCK,,,,,SEG25,,,,EVENTOUT,
PortC,PC8,,,TIM3_CH3,,,,,,,,,SEG26,,,,EVENTOUT,
PortC,PC9,MCO_2,,TIM3_CH4,,,,,,,,,,,,,EVENTOUT,
PortC,PC10,,,,,,,SPI3_SCK/I2S3_CK,USART3_TX,UART4_TX,,,COM4/SEG28/SEG40,,,,EVENTOUT,
PortC,PC11,,,,,,,SPI3_MISO,USART3_RX,UART4_RX,,,COM5/SEG29/SEG41,,,,EVENTOUT,
PortC,PC12,,,,,,,SPI3_MOSI/I2S3_SD,USART3_CK,UART5_TX,,,COM5/SEG30/SEG42,,,,EVENTOUT,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,,,,TIM9_CH1,,SPI2_NSS/I2S2_WS,,,,,,,,,,EVENTOUT,
PortD,PD1,,,,,,SPI2_SCK/I2S2_CK,,,,,,,,,,EVENTOUT,
PortD,PD2,,,TIM3_ETR,,,,,,UART5_RX,,,COM7/SEG31/SEG43,,,,EVENTOUT,
PortD,PD3,,,,,,SPI2_MISO,,USART2_CTS,,,,,,,,EVENTOUT,
PortD,PD4,,,,,,SPI2_MOSI/I2S2_SD,,USART2_RTS,,,,,,,,EVENTOUT,
PortD,PD5,,,,,,,,USART2_TX,,,,,,,,EVENTOUT,
PortD,PD6,,,,,,SPI3_MOSI/I2S3_SD,,USART2_RX,,,,,,,,EVENTOUT,
PortD,PD7,,,,,,,,USART2_CK,,,,,,,,EVENTOUT,
PortD,PD8,,,,,,,,USART3_TX,,,,SEG28,,,,EVENTOUT,
PortD,PD9,,,,,,,,USART3_RX,,,,SEG29,,,,EVENTOUT,
PortD,PD10,,,,,,,,USART3_CK,,,,SEG30,,,,EVENTOUT,
PortD,PD11,,,,,,,,USART3_CTS,,,,SEG31,,,,EVENTOUT,
PortD,PD12,,,TIM4_CH1,,,,,USART3_RTS,,,,SEG32,,,,EVENTOUT,
PortD,PD13,,,TIM4_CH2,,,,,,,,,SEG33,,,,EVENTOUT,
PortD,PD14,,,TIM4_CH3,,,,,,,,,SEG34,,,,EVENTOUT,
PortD,PD15,,,TIM4_CH4,,,,,,,,,SEG35,,,,EVENTOUT,
PortE,PE0,,,TIM4_ETR,TIM10_CH1,,,,,,,,SEG36,,,,EVENTOUT,
PortE,PE1,,,,TIM11_CH1,,,,,,,,SEG37,,,,EVENTOUT,
PortE,PE2,TRACECLK,,TIM3_ETR,,,,,,,,,SEG38,,,,EVENTOUT,
PortE,PE3,TRACED0,,TIM3_CH1,,,,,,,,,SEG39,,,,EVENTOUT,
PortE,PE4,TRACED1,,TIM3_CH2,,,,,,,,,,,,,EVENTOUT,
PortE,PE5,TRACED2,,,TIM9_CH1,,,,,,,,,,,,EVENTOUT,
PortE,PE6,TRACED3,,,TIM9_CH2,,,,,,,,,,,,EVENTOUT,
PortE,PE7,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE8,,,,,,,,,,,,,,,,EVENTOUT,
PortE,PE9,,TIM2_CH1/TIM2_ETR,,,,,,,,,,,,,,EVENTOUT,
PortE,PE10,,TIM2_CH2,,,,,,,,,,,,,,EVENTOUT,
PortE,PE11,,TIM2_CH3,,,,,,,,,,,,,,EVENTOUT,
PortE,PE12,,TIM4_CH4,,,,SPI1_NSS,,,,,,,,,,EVENTOUT,
PortE,PE13,,,,,,SPI1_SCK,,,,,,,,,,EVENTOUT,
PortE,PE14,,,,,,SPI1_MISO,,,,,,,,,,EVENTOUT,
PortE,PE15,,,,,,SPI1_MOSI,,,,,,,,,,EVENTOUT,
PortF,PF0,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF1,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF3,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF4,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF5,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF6,,,TIM5_ETR,,,,,,,,,,,,,EVENTOUT,
PortF,PF7,,,TIM5_CH2,,,,,,,,,,,,,EVENTOUT,
PortF,PF8,,,TIM5_CH3,,,,,,,,,,,,,EVENTOUT,
PortF,PF9,,,TIM5_CH4,,,,,,,,,,,,,EVENTOUT,
PortF,PF10,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF11,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF12,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF13,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF14,,,,,,,,,,,,,,,,EVENTOUT,
PortF,PF15,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG0,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG1,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG2,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG3,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG4,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG5,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG6,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG7,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG8,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG9,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG10,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG11,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG12,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG13,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG14,,,,,,,,,,,,,,,,EVENTOUT,
PortG,PG15,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH0,,,,,,,,,,,,,,,,,
PortH,PH1,,,,,,,,,,,,,,,,,
PortH,PH2,,,,,,,,,,,,,,,,,